# cfgfile = ./initcfg/TOS2/TOS2.1809.meiyo_m5-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M01,2.7065,0.0,0.0,0.0,False,76944.400705,35.66239,1855.11793,16.87675,253.98,-1.44,2.82,76948.16876,26.9884,1853.51406,17.84859,252.32,0.81,4.45
1,S01,L01,M02,3.602604,0.0,0.0,0.0,False,76945.490625,33.2083,1854.71853,17.16324,253.4,-1.05,3.88,76950.154785,22.12623,1851.61623,16.79772,249.6,-0.81,4.0
2,S01,L01,M02,3.604464,0.0,0.0,0.0,False,76954.400715,12.23701,1848.12573,17.53928,244.92,-0.63,4.35,76959.066735,1.35339,1842.91883,17.34304,238.73,-0.28,5.78
3,S01,L01,M03,4.350773,0.0,0.0,0.0,False,76955.490645,9.54305,1846.7007,16.98835,243.37,-1.73,4.22,76960.902975,-2.46222,1840.80126,17.74773,236.45,0.44,6.25
4,S01,L01,M01,2.662795,0.0,0.0,0.0,False,76984.400915,-31.50877,1788.63988,17.09397,200.46,-0.8,4.86,76988.125265,-31.83967,1778.23822,17.94504,196.28,0.75,3.93
5,S01,L01,M02,3.561629,0.0,0.0,0.0,False,76985.490945,-31.88092,1785.71087,17.1297,199.2,-0.28,5.21,76990.11413,-31.20038,1771.81593,16.76828,193.83,-1.15,2.72
6,S01,L01,M02,3.537884,0.0,0.0,0.0,False,76994.400995,-30.66439,1759.57181,17.9875,189.22,-0.34,5.19,76999.000435,-27.74063,1745.82788,17.55026,186.09,2.88,4.53
7,S01,L01,M03,4.246073,0.0,0.0,0.0,False,76995.491025,-29.72495,1755.86346,17.90032,188.17,-1.71,4.21,77000.798655,-25.63286,1739.15761,17.49455,186.0,-1.4,2.24
8,S01,L01,M03,4.214938,0.0,0.0,0.0,False,77004.401215,-22.46637,1728.74732,17.57283,185.29,0.69,3.44,77009.67771,-17.03755,1711.83968,17.74119,186.05,0.01,2.44
9,S01,L01,M04,3.509049,0.0,0.0,0.0,False,77005.49115,-21.48549,1724.80312,17.22574,185.24,-1.02,3.46,77010.061755,-16.57114,1710.43729,17.54741,186.42,-0.76,2.04
10,S01,L01,M01,2.60701,0.0,0.0,0.0,False,77015.49114,-10.70178,1692.64755,17.41889,187.89,-1.22,-0.3,77019.159705,-7.77504,1681.25577,17.72087,186.14,0.95,1.32
11,S01,L01,M02,3.406699,0.0,0.0,0.0,False,77034.40128,11.66304,1630.65948,16.49121,177.62,-2.84,2.0,77038.869535,19.4994,1616.26486,17.26871,178.62,-0.61,0.85
12,S01,L01,M01,2.52809,0.0,0.0,0.0,False,77064.401475,49.99735,1534.12016,17.43,203.23,-0.81,0.4,77067.99112,50.85681,1524.03771,17.86228,209.96,1.09,0.28
13,S01,L01,M02,3.309674,0.0,0.0,0.0,False,77065.4915,50.78937,1530.74233,17.35737,205.54,-0.55,-0.58,77069.86273,50.98186,1518.38057,17.59895,213.03,-0.3,-0.53
14,S01,L01,M02,3.292664,0.0,0.0,0.0,False,77074.401455,49.10611,1507.22934,17.65007,220.13,0.79,0.53,77078.755675,46.338,1496.78796,17.37102,224.22,-0.16,0.91
15,S01,L01,M04,3.313794,0.0,0.0,0.0,False,77094.401985,29.69691,1465.26467,17.98285,222.41,0.78,3.29,77098.777335,24.27231,1455.25798,17.57144,221.11,0.12,3.77
16,S01,L01,M01,2.496865,0.0,0.0,0.0,False,77095.4916,28.39901,1462.53182,17.66066,222.02,0.04,2.44,77099.05002,23.8664,1454.62366,17.56638,221.05,-0.04,4.0
17,S01,L01,M01,2.48763,0.0,0.0,0.0,False,77104.40172,18.19615,1441.04769,17.23717,220.29,-0.86,1.83,77107.950905,13.5038,1431.95209,17.48149,218.71,-1.07,2.39
18,S01,L01,M02,3.253474,0.0,0.0,0.0,False,77105.49175,17.11635,1438.5706,17.53184,220.19,0.4,2.35,77109.80678,12.12448,1427.39531,17.57416,217.2,1.22,0.9
19,S01,L01,M02,3.239764,0.0,0.0,0.0,False,77114.40183,6.78058,1415.78965,17.54772,214.34,1.64,4.02,77118.70315,2.3679,1403.42671,17.748,209.44,0.33,3.63
20,S01,L01,M03,3.871993,0.0,0.0,0.0,False,77115.491755,5.44932,1412.47499,17.61816,213.68,0.71,3.69,77120.425305,1.17447,1397.92963,17.51367,208.94,0.25,2.18
21,S01,L01,M03,3.843798,0.0,0.0,0.0,False,77124.401895,-1.72166,1386.24608,17.56655,204.68,0.72,3.48,77129.30725,-4.5295,1370.70978,17.62721,199.35,0.62,5.5
22,S01,L01,M04,3.233504,0.0,0.0,0.0,False,77125.49182,-2.35866,1382.57262,17.17855,202.86,-0.52,3.5,77129.78688,-4.56859,1368.94735,17.60004,199.05,0.37,5.25
23,S01,L01,M04,3.210549,0.0,0.0,0.0,False,77134.401975,-4.62636,1352.63723,16.77512,196.02,-2.54,3.08,77138.67408,-3.63308,1338.0479,17.54763,194.11,-1.87,2.94
24,S01,L01,M01,2.453285,0.0,0.0,0.0,False,77135.491895,-4.29319,1349.29165,16.90756,195.19,-1.16,2.76,77139.006735,-3.6837,1336.81505,17.17619,193.98,-2.77,3.3
25,S01,L01,M01,2.443615,0.0,0.0,0.0,False,77144.402005,-1.46826,1318.99656,17.44224,194.08,-0.19,1.55,77147.907175,-0.06224,1306.28448,17.1066,194.94,-1.94,1.4
26,S01,L01,M03,3.731713,0.0,0.0,0.0,False,77155.492125,1.87677,1280.41123,17.79394,195.42,2.03,3.44,77160.285395,3.32553,1262.52971,17.26516,195.88,1.1,1.85
27,S01,L01,M03,3.697268,0.0,0.0,0.0,False,77164.402125,4.82994,1246.40247,17.2652,195.42,-0.93,1.13,77169.16095,5.17899,1228.32782,16.97442,194.77,-2.6,1.93
28,S01,L01,M04,3.133559,0.0,0.0,0.0,False,77165.492155,4.74468,1242.66208,17.49604,195.56,-0.26,1.88,77169.68727,5.45002,1226.52948,16.85626,194.85,-2.05,1.43
29,S01,L01,M04,3.111669,0.0,0.0,0.0,False,77174.402195,6.66337,1209.15879,17.43257,194.23,-0.39,2.51,77178.57542,7.45479,1193.92599,18.20312,194.01,2.26,3.24
30,S01,L01,M01,2.405805,0.0,0.0,0.0,False,77184.40224,8.88429,1170.95594,17.69418,195.85,-0.28,3.9,77187.8696,10.28805,1157.88695,17.96137,197.77,1.39,0.78
31,S01,L01,M02,3.058004,0.0,0.0,0.0,False,77185.49227,9.35088,1166.45015,17.29326,196.58,-1.34,2.53,77189.61183,10.2867,1150.70228,17.53559,199.12,-0.85,0.54
32,S01,L01,M04,3.009089,0.0,0.0,0.0,False,77214.402465,2.9071,1058.16354,17.37715,201.49,-0.92,2.22,77218.47311,1.44351,1043.42407,18.24993,200.13,2.21,3.18
33,S01,L01,M01,2.386605,0.0,0.0,0.0,False,77215.492495,2.64627,1053.92331,17.13353,201.29,-0.71,1.96,77218.940655,1.34842,1041.54474,18.46413,199.83,1.82,3.06
34,S01,L01,M01,2.382975,0.0,0.0,0.0,False,77224.40256,0.34317,1020.4265,17.8344,197.62,1.54,2.46,77227.84709,-0.43143,1007.1003,17.65577,197.28,-0.07,3.47
35,S01,L01,M02,2.968614,0.0,0.0,0.0,False,77225.492595,0.21177,1015.54562,17.50255,197.59,-1.35,2.01,77229.522765,-0.43276,1000.78896,17.63962,196.96,0.85,3.13
36,S01,L01,M02,2.948684,0.0,0.0,0.0,False,77234.402625,-0.33366,981.84094,17.34825,196.67,1.05,1.73,77238.412865,-0.43856,965.92058,17.76616,195.93,-0.41,2.17
37,S01,L01,M03,3.394453,0.0,0.0,0.0,False,77244.39279,-0.01946,942.15407,17.24585,194.67,-0.21,2.09,77248.8488,0.55444,924.86693,17.38584,195.19,-0.32,2.66
38,S01,L01,M04,2.936024,0.0,0.0,0.0,False,77245.48282,0.43971,938.39324,17.88827,194.71,1.78,1.88,77249.4804,0.58745,922.70674,17.72035,195.3,1.09,2.92
39,S01,L01,M04,2.917159,0.0,0.0,0.0,False,77254.392755,1.76433,902.77654,17.32066,195.14,-0.47,1.18,77258.37147,2.82281,887.42059,17.93618,194.86,0.22,1.18
40,S01,L01,M01,2.376385,0.0,0.0,0.0,False,77255.482785,1.66988,898.38254,17.42749,195.29,-0.75,2.01,77258.920725,2.92108,884.87826,17.42827,195.3,-1.65,0.72
41,S01,L01,M01,2.377055,0.0,0.0,0.0,False,77264.392885,4.2989,865.05524,17.29676,195.61,-2.34,0.94,77267.831495,4.31255,854.42516,17.87171,195.8,1.39,3.27
42,S01,L01,M03,3.269028,0.0,0.0,0.0,False,77284.392975,9.69872,805.59173,17.44353,198.57,-0.16,1.41,77288.72356,11.12426,793.76397,17.97659,198.95,-1.12,2.06
43,S01,L01,M04,2.870249,0.0,0.0,0.0,False,77285.483005,10.0715,802.72694,17.65629,198.51,0.7,1.74,77289.41481,11.20629,791.94192,17.53253,199.23,-1.62,2.11
44,S01,L01,M04,2.861844,0.0,0.0,0.0,False,77294.39318,13.47303,779.6602,17.2689,200.39,-1.97,1.14,77298.31658,15.90147,771.0854,18.13867,200.55,0.26,0.21
45,S01,L01,M01,2.3811,0.0,0.0,0.0,False,77295.483,13.68106,777.3449,16.912,199.96,-1.81,2.06,77298.925655,16.01282,769.17989,17.54701,200.97,-2.14,0.16
46,S01,L01,M01,2.38338,0.0,0.0,0.0,False,77304.39319,18.23553,758.40078,17.9739,202.44,-0.29,0.78,77307.838125,19.19365,751.86547,17.18928,203.04,0.19,2.23
47,S01,L01,M02,2.823714,0.0,0.0,0.0,False,77305.483115,18.51103,756.16532,17.70315,202.84,-1.05,0.79,77309.368385,19.87217,748.83311,18.03392,203.4,1.19,2.18
48,S01,L01,M02,2.814504,0.0,0.0,0.0,False,77314.39337,21.66344,739.21371,18.13058,204.69,0.27,2.1,77318.26943,23.58191,732.39373,18.20845,205.17,2.2,0.49
49,S01,L01,M03,3.207783,0.0,0.0,0.0,False,77315.483195,21.62977,736.70681,17.24366,204.93,-2.16,2.19,77319.752535,23.99132,729.21994,17.81221,205.26,0.41,0.89
50,S01,L01,M03,3.194253,0.0,0.0,0.0,False,77324.393295,25.4435,721.7021,17.71428,205.96,0.45,1.93,77328.649105,27.41736,714.60393,18.20694,205.57,2.47,1.84
51,S01,L01,M04,2.835844,0.0,0.0,0.0,False,77334.393265,29.14378,705.13501,18.33942,206.76,2.45,2.58,77338.290665,30.50999,698.26234,17.3408,208.8,0.18,2.05
52,S01,L01,M01,2.390575,0.0,0.0,0.0,False,77335.483295,29.35629,702.62446,17.87664,207.56,-0.49,2.0,77338.935425,30.81328,697.47082,17.77916,209.2,1.45,2.17
53,S01,L01,M01,2.39257,0.0,0.0,0.0,False,77344.393375,32.18389,688.81889,18.03505,211.74,1.48,1.52,77347.8475,32.7254,682.80724,17.36874,213.39,-1.26,1.4
54,S01,L01,M02,2.785854,0.0,0.0,0.0,False,77345.483405,32.31515,686.9015,17.95019,211.74,0.7,1.96,77349.330815,33.07213,681.08322,17.49701,213.34,0.8,2.06
55,S01,L01,M02,2.779714,0.0,0.0,0.0,False,77354.39347,33.61361,673.21288,17.83,215.42,0.43,2.35,77358.23474,34.69901,667.49822,17.83033,217.13,1.78,0.72
56,S01,L01,M03,3.149683,0.0,0.0,0.0,False,77355.483405,33.34686,671.40102,17.39629,215.75,-0.66,2.64,77359.694645,33.97438,664.82478,17.50602,217.27,-1.53,1.83
57,S01,L01,M03,3.139193,0.0,0.0,0.0,False,77364.393535,33.92277,658.24604,17.47889,218.69,-2.01,1.98,77368.594285,34.9503,653.29741,17.66019,220.47,-0.39,1.12
58,S01,L01,M04,2.817704,0.0,0.0,0.0,False,77365.483465,33.96886,657.05,16.87472,218.93,-2.16,2.31,77369.362725,34.66606,651.96561,17.14891,220.53,-3.08,1.48
59,S01,L01,M01,2.401705,0.0,0.0,0.0,False,77384.39376,33.72604,635.6205,18.09532,225.94,1.09,3.12,77387.85702,33.1179,631.42352,17.52379,225.7,0.71,1.61
60,S01,L01,M02,2.765139,0.0,0.0,0.0,False,77385.483685,32.75977,634.32736,17.88442,225.63,-1.06,4.02,77389.31038,32.84368,629.64808,17.81433,226.41,1.07,0.48
61,S01,L01,M02,2.762614,0.0,0.0,0.0,False,77394.393755,31.24141,624.17964,17.85394,226.51,0.48,2.82,77398.217925,29.52264,620.01236,17.85761,226.48,0.01,2.6
62,S01,L01,M03,3.108133,0.0,0.0,0.0,False,77395.48368,30.55157,623.0988,17.89617,226.48,0.15,3.42,77399.65337,29.30817,618.10366,17.53558,226.79,0.28,1.07
63,S01,L01,M03,3.099203,0.0,0.0,0.0,False,77404.393815,27.52295,612.86087,17.79686,225.72,0.5,2.96,77408.554575,25.66319,607.92779,17.50691,225.51,-0.97,2.56
64,S01,L01,M04,2.794749,0.0,0.0,0.0,False,77405.483845,27.38609,611.71409,18.18736,225.62,1.78,2.53,77409.34015,25.51709,606.94934,17.50548,225.51,-0.37,2.22
65,S01,L01,M04,2.788384,0.0,0.0,0.0,False,77414.39383,23.48687,600.55382,17.22978,224.54,-1.26,1.83,77418.24377,22.0183,596.45349,17.93592,222.74,0.62,3.35
66,S01,L01,M01,2.408385,0.0,0.0,0.0,False,77415.48386,23.14852,599.30659,17.24608,224.66,-1.45,1.88,77418.9538,21.75845,595.24874,17.64057,222.52,-0.06,2.89
67,S01,L01,M01,2.41131,0.0,0.0,0.0,False,77424.39392,19.75265,588.55247,17.73569,219.89,-1.0,2.98,77427.866785,19.10589,584.32298,17.82688,218.63,1.74,2.58
68,S01,L01,M02,2.754569,0.0,0.0,0.0,False,77425.48395,19.17457,587.03465,17.38373,219.16,-1.98,3.16,77429.300075,18.18105,582.28988,17.91766,217.47,0.35,3.32
69,S01,L01,M02,2.751509,0.0,0.0,0.0,False,77434.39406,17.48471,575.18475,17.55466,215.11,0.14,1.92,77438.207125,16.95175,570.16126,18.04727,213.89,1.98,2.87
70,S01,L01,M03,3.065403,0.0,0.0,0.0,False,77435.483985,16.84188,573.4705,17.53768,214.52,-1.04,2.79,77439.610945,16.69961,567.68072,17.88498,213.06,0.22,2.64
71,S01,L01,M03,3.053998,0.0,0.0,0.0,False,77444.39407,16.76519,560.83532,18.2176,211.58,2.2,2.18,77448.509625,16.28198,554.34586,17.11701,210.68,-0.16,3.43
72,S01,L01,M04,2.769059,0.0,0.0,0.0,False,77445.484105,16.68427,558.66541,18.18075,211.62,0.19,1.68,77449.31472,16.56608,553.06609,17.317,210.92,0.69,2.74
73,S01,L01,M04,2.764154,0.0,0.0,0.0,False,77454.394155,16.69757,544.58715,17.30263,211.58,-1.6,2.66,77458.219865,17.03214,538.49988,17.92151,212.03,-0.04,2.0
74,S01,L01,M01,2.422095,0.0,0.0,0.0,False,77455.48408,16.85975,543.24316,17.28164,211.68,-0.09,2.74,77458.96773,17.14289,537.27287,17.87,212.14,-0.13,1.97
75,S01,L01,M01,2.42598,0.0,0.0,0.0,False,77464.394155,17.21182,528.14971,17.0813,213.53,-0.4,0.89,77467.88169,16.57251,523.09021,18.17416,214.09,0.55,2.83
76,S01,L01,M02,2.734369,0.0,0.0,0.0,False,77465.484185,17.06473,526.54886,17.39671,213.68,0.21,1.44,77469.28011,16.25874,519.81548,16.99087,214.64,-2.98,1.87
77,S01,L01,M02,2.730799,0.0,0.0,0.0,False,77474.39432,15.89949,511.90814,17.31185,215.11,-3.9,2.26,77478.186675,16.98199,507.15568,18.17287,214.49,2.7,1.32
78,S01,L01,M03,3.012408,0.0,0.0,0.0,False,77475.48435,16.03029,510.70834,17.02135,215.48,-2.18,2.11,77479.558315,16.71559,504.04715,17.12105,215.01,-2.55,0.96
79,S01,L01,M04,2.747269,0.0,0.0,0.0,False,77485.48436,16.41139,495.76754,17.40093,214.93,-2.64,2.68,77489.293185,16.65531,490.72315,17.23161,216.21,-0.42,2.33
80,S01,L01,M04,2.743704,0.0,0.0,0.0,False,77494.394375,16.72257,483.76562,17.23016,216.76,-1.26,2.65,77498.199635,16.62128,478.84307,17.99174,218.16,0.61,2.28
81,S01,L01,M01,2.438855,0.0,0.0,0.0,False,77495.48441,16.77473,482.5014,17.45285,217.16,-0.22,2.92,77498.98482,16.28416,477.5887,17.65346,218.56,-0.67,2.01
82,S01,L01,M01,2.44266,0.0,0.0,0.0,False,77504.39448,15.68918,470.03634,17.36951,218.83,-1.21,2.02,77507.898695,15.67471,465.45791,17.92937,218.64,0.74,2.05
83,S01,L01,M02,2.718089,0.0,0.0,0.0,False,77505.484405,15.72753,468.69323,17.52268,218.48,-0.56,2.37,77509.26405,15.10957,463.40218,17.81974,218.79,-0.65,2.22
84,S01,L01,M02,2.715374,0.0,0.0,0.0,False,77514.39446,14.26629,456.06329,17.49729,218.26,-0.2,2.13,77518.17139,13.42614,450.53174,17.71507,218.81,-0.85,1.92
85,S01,L01,M03,2.966628,0.0,0.0,0.0,False,77515.484495,14.34914,454.55888,17.66696,217.96,0.65,2.08,77519.51268,12.92537,448.63779,17.22948,218.28,-0.92,2.94
86,S01,L01,M03,2.956193,0.0,0.0,0.0,False,77524.394635,11.66534,441.12347,17.51615,217.52,-1.87,3.27,77528.412385,11.13337,435.16376,17.56839,217.48,0.19,1.48
87,S01,L01,M04,2.726874,0.0,0.0,0.0,False,77525.48456,11.55781,439.67163,17.68841,217.33,-1.01,3.1,77529.27299,10.94261,433.63924,17.40225,217.43,-0.96,1.25
88,S01,L01,M04,2.721754,0.0,0.0,0.0,False,77534.394655,9.73938,425.98684,17.47072,216.6,-0.54,2.35,77538.177965,8.31045,420.36342,17.46799,216.47,-1.91,3.04
89,S01,L01,M01,2.457885,0.0,0.0,0.0,False,77535.484685,9.88134,424.94703,18.19755,217.14,2.24,1.76,77539.004125,8.40055,419.18796,17.50131,216.19,-1.63,2.77
90,S01,L01,M01,2.462435,0.0,0.0,0.0,False,77544.39486,7.35951,410.85391,17.64407,214.98,-0.75,2.63,77547.91885,6.88215,405.63822,17.78277,213.77,0.97,2.47
91,S01,L01,M02,2.706714,0.0,0.0,0.0,False,77545.484785,7.24261,409.04489,17.41632,214.9,-1.01,2.37,77549.253055,6.50891,402.99586,17.64075,213.66,-0.79,2.15
92,S01,L01,M02,2.703759,0.0,0.0,0.0,False,77554.39482,5.90528,394.67671,17.64686,212.35,0.1,2.49,77558.160135,5.56295,387.6703,17.37656,211.16,-1.09,1.83
93,S01,L01,M03,2.917433,0.0,0.0,0.0,False,77555.48485,5.85643,393.00326,17.91146,211.64,1.02,2.52,77559.46384,5.28316,385.60393,17.28928,210.94,-0.17,2.54
94,S01,L01,M03,2.905133,0.0,0.0,0.0,False,77564.39497,5.35147,376.27318,17.48185,209.59,-1.35,1.23,77568.36166,5.52463,369.45373,18.24711,207.64,2.1,2.18
95,S01,L01,M04,2.706004,0.0,0.0,0.0,False,77565.484895,4.86561,374.4191,17.12509,209.27,-1.38,2.36,77569.252455,5.66725,367.40999,18.33873,207.72,0.77,1.23
96,S01,L01,M04,2.702584,0.0,0.0,0.0,False,77574.394895,6.03565,358.44939,18.74405,207.22,3.55,1.96,77578.159035,6.28281,351.20134,17.2167,207.38,0.87,2.14
97,S01,L01,M01,2.483445,0.0,0.0,0.0,False,77575.484925,5.82654,355.44678,18.05913,207.32,-0.34,1.36,77579.029925,6.78321,350.1093,18.10052,207.2,3.77,2.29
98,S01,L01,M01,2.488975,0.0,0.0,0.0,False,77584.395,7.62738,340.16134,18.02041,207.25,1.97,2.38,77587.94553,7.49482,332.90909,17.03265,208.42,-2.26,2.4
99,S01,L01,M02,2.690059,0.0,0.0,0.0,False,77585.48503,8.16685,337.94576,18.33561,207.16,2.4,1.9,77589.236645,8.03103,330.95187,17.12471,208.23,-0.75,2.23
100,S01,L01,M02,2.685849,0.0,0.0,0.0,False,77594.395125,8.87991,321.52619,16.95169,209.88,-1.92,2.44,77598.14253,10.31232,314.65656,18.27493,210.03,0.15,0.76
101,S01,L01,M03,2.861473,0.0,0.0,0.0,False,77595.485055,9.35565,319.99845,17.22885,209.58,0.58,2.45,77599.408085,9.85024,312.38365,17.6482,210.91,-1.73,1.18
102,S01,L01,M03,2.849828,0.0,0.0,0.0,False,77604.395165,10.43744,303.51043,17.55136,211.95,-0.81,1.08,77608.30655,10.22276,297.12611,17.6886,213.37,0.07,1.98
103,S01,L01,M04,2.692714,0.0,0.0,0.0,False,77605.485205,10.2072,301.8315,17.3966,211.76,-1.31,2.59,77609.239475,10.3107,295.34372,17.79836,213.25,-0.09,2.03
104,S01,L01,M04,2.689189,0.0,0.0,0.0,False,77614.395245,9.79842,286.57533,17.62038,214.98,0.13,2.23,77618.14599,9.59724,280.09431,17.78321,216.54,0.38,1.44
105,S01,L01,M01,2.511805,0.0,0.0,0.0,False,77615.48517,10.11395,284.28061,17.44421,215.64,-0.02,0.19,77619.05853,9.04121,278.48723,17.72014,216.47,-0.4,2.46
106,S01,L01,M01,2.51852,0.0,0.0,0.0,False,77624.3954,7.82818,269.0776,17.38436,216.55,-1.02,1.37,77627.975475,7.67391,263.31134,17.63136,216.17,0.77,1.4
107,S01,L01,M02,2.677594,0.0,0.0,0.0,False,77625.485325,7.7187,267.37305,17.24677,216.54,-0.68,1.56,77629.224475,7.20283,261.03559,17.61534,215.6,-0.59,2.1
108,S01,L01,M02,2.676764,0.0,0.0,0.0,False,77634.39533,6.1263,252.36319,17.97278,214.75,1.22,2.47,77638.13365,5.34931,245.75485,17.46796,214.32,-0.05,1.41
109,S01,L01,M03,2.811123,0.0,0.0,0.0,False,77635.48536,5.81817,250.30875,17.9543,214.94,0.7,1.95,77639.35804,5.13258,243.74592,17.81247,214.51,0.35,1.55
110,S01,L01,M03,2.799808,0.0,0.0,0.0,False,77644.39536,3.7005,235.17034,18.43159,213.51,1.51,3.11,77648.256725,3.0185,227.73945,17.20803,213.05,-0.14,1.73
111,S01,L01,M04,2.676259,0.0,0.0,0.0,False,77645.48539,3.22637,232.94325,18.02295,213.47,-0.35,2.55,77649.223205,2.96343,226.52264,17.79768,213.18,2.09,1.92
112,S01,L01,M04,2.672594,0.0,0.0,0.0,False,77654.39545,1.63902,216.91859,17.22654,211.85,-0.42,2.58,77658.1296,0.88961,210.12264,17.93288,210.83,-0.24,2.49
113,S01,L01,M01,2.54339,0.0,0.0,0.0,False,77655.48548,1.49143,215.18779,17.59167,212.17,1.44,2.25,77659.090425,0.76162,207.60505,17.07879,210.46,-3.03,1.79
114,S01,L01,M01,2.55128,0.0,0.0,0.0,False,77664.39562,-0.29983,198.78905,17.304,209.48,-1.89,2.52,77668.008455,0.51818,193.12032,17.84976,208.66,1.96,2.1
115,S01,L01,M02,2.672144,0.0,0.0,0.0,False,77665.485545,0.00267,196.85983,17.04519,208.83,-1.67,2.15,77669.219245,0.10479,190.5088,17.63935,208.22,-0.45,2.42
116,S01,L01,M02,2.670964,0.0,0.0,0.0,False,77674.395675,-0.09191,181.6061,18.18612,205.84,1.32,3.14,77678.128195,0.33542,174.41047,17.28015,204.31,-0.12,2.5
117,S01,L01,M03,2.761253,0.0,0.0,0.0,False,77675.4856,-0.03443,179.27674,17.73512,205.58,-0.29,2.77,77679.30841,0.96056,172.72262,18.16437,203.98,2.49,2.03
118,S01,L01,M03,2.749843,0.0,0.0,0.0,False,77684.39583,1.74838,163.27572,17.97652,202.45,0.78,3.06,77688.20723,2.64987,156.04032,17.53669,202.82,0.53,2.84
119,S01,L01,M04,2.666799,0.0,0.0,0.0,False,77685.485655,2.24566,160.96982,17.75479,202.41,0.72,2.28,77689.21401,2.9176,154.6006,17.81295,203.43,1.65,3.01
120,S01,L01,M04,2.666244,0.0,0.0,0.0,False,77694.39585,4.83303,145.04339,18.10541,204.67,2.57,1.73,77698.12365,5.57877,137.38092,17.02665,205.26,-1.49,1.93
121,S01,L01,M01,2.58038,0.0,0.0,0.0,False,77695.485775,4.88259,142.79505,18.26709,204.86,1.6,2.15,77699.12771,5.98415,135.84912,17.54427,205.9,0.24,1.99
122,S01,L01,M01,2.588025,0.0,0.0,0.0,False,77704.395815,6.83496,125.45017,17.06745,207.57,-2.17,1.27,77708.045395,6.83166,119.1946,17.46204,209.6,-1.76,2.2
123,S01,L01,M02,2.661959,0.0,0.0,0.0,False,77705.485845,7.43929,124.24501,17.44111,208.22,0.76,0.99,77709.20936,7.4952,117.52457,17.51576,209.76,-0.82,2.14
124,S01,L01,M02,2.660794,0.0,0.0,0.0,False,77714.39595,7.91075,109.58105,17.45292,212.02,1.02,2.4,77718.1183,7.84248,102.91658,17.52447,212.6,-1.46,2.29
125,S01,L01,M03,2.713058,0.0,0.0,0.0,False,77715.48671,8.09182,107.94162,18.02561,212.28,2.38,2.38,77719.261325,8.23234,101.20141,17.43262,212.83,-0.29,1.97
126,S01,L01,M03,2.703483,0.0,0.0,0.0,False,77724.396015,8.01481,92.7576,17.70718,214.0,0.67,1.71,77728.161055,7.10745,86.81681,17.52363,214.77,-0.36,3.18
127,S01,L01,M04,2.663514,0.0,0.0,0.0,False,77725.485945,8.48367,90.50686,17.81189,214.27,0.3,0.29,77729.211015,6.94409,84.99346,17.59092,214.46,-0.02,3.36
128,S01,L01,M04,2.662189,0.0,0.0,0.0,False,77734.39602,6.45214,75.71597,17.40461,214.26,-0.62,1.9,77738.119765,6.45127,70.11626,18.29407,212.77,2.34,2.63
129,S01,L01,M01,2.61681,0.0,0.0,0.0,False,77735.48605,6.17655,73.58967,16.88906,214.15,-1.89,1.79,77739.164415,6.12412,67.95819,18.09962,212.68,0.79,2.17
130,S01,L01,M01,2.625905,0.0,0.0,0.0,False,77744.39615,5.77032,58.97998,18.23321,211.22,1.47,1.5,77748.08361,5.11284,52.94026,17.35835,211.08,0.44,2.9
131,S01,L01,M02,2.660624,0.0,0.0,0.0,False,77745.486075,5.75139,56.42881,17.64751,211.2,-1.21,0.9,77749.208255,5.09726,51.04016,17.53615,210.48,1.24,3.23
132,S01,L01,M02,2.660339,0.0,0.0,0.0,False,77754.39613,5.02447,41.5415,17.21889,209.77,-0.38,2.44,77758.118025,5.14952,34.5262,17.50542,209.34,-0.38,1.75
133,S01,L01,M03,2.669823,0.0,0.0,0.0,False,77755.48616,5.22341,39.80058,17.7209,209.75,1.19,1.76,77759.21754,4.9672,32.48435,17.40735,209.68,-1.01,1.92
134,S01,L01,M03,2.659893,0.0,0.0,0.0,False,77764.39618,5.21565,22.68604,17.35056,208.96,-1.87,0.68,77768.11763,4.83896,16.52384,18.00531,208.64,1.08,2.65
135,S01,L01,M04,2.659324,0.0,0.0,0.0,False,77765.486315,4.95153,21.11561,17.27159,209.02,-0.83,1.56,77769.207195,4.76772,14.13486,17.74867,208.28,-0.43,2.6
136,S01,L01,M04,2.659414,0.0,0.0,0.0,False,77774.396365,4.89187,4.38279,17.72766,208.35,-0.43,2.11,77778.117335,4.50105,-1.83006,18.09394,208.35,2.26,2.49
137,S01,L01,M01,2.65876,0.0,0.0,0.0,False,77775.48629,4.72861,1.99559,17.37354,208.24,-1.53,1.93,77779.206605,4.54534,-4.53965,17.69085,208.2,0.28,1.92
138,S01,L01,M01,2.66929,0.0,0.0,0.0,False,77784.396345,4.48217,-13.84727,18.26846,208.19,1.79,3.23,77788.12719,4.34034,-21.38935,17.11329,208.36,0.06,1.13
139,S01,L01,M02,2.662349,0.0,0.0,0.0,False,77785.486375,4.31781,-16.39055,18.31332,208.53,-0.04,2.06,77789.21028,4.73416,-23.19178,17.46402,208.4,2.16,1.1
140,S01,L01,M02,2.663049,0.0,0.0,0.0,False,77794.39646,3.60818,-33.83414,17.99593,207.64,0.8,2.18,77798.121065,3.20101,-42.44644,17.21549,207.73,-1.15,2.36
